PRODUCT_NAME,TAXONOMY_INDEX,ADDITIONAL_DETAILS,ACQUISITION_COST,SALE_COST,QUANTITY,WAREHOUSE_NAME,CITY,STATE,COUNTRY_NAME,CREATION_DATE
PNY VCGGTX780T3XPB-OC,,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz",592.12,749.99,118,New Jersey,South Brunswick,New Jersey,United States of America,26/06/2000
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,86,"Seattle, Washington",Seattle,Washington,United States of America,24/07/2000
Zotac ZT-70203-10P,,"Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz",580.42,820.61,55,Sydney,Sydney,New South Wales,Australia,31/07/2000
Supermicro X10SDV-8C-TLN4F,,"CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",664.29,948.99,223,"Seattle, Washington",Seattle,Washington,United States of America,02/08/2000
PNY VCQM6000-PB,,"Chipset:Quadro M6000,Memory:12GBCore Clock:988MHz",2505.04,3254.99,145,Sydney,Sydney,New South Wales,Australia,09/08/2000
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,208,Toronto,Toronto,Ontario,Canada,23/08/2000
Zotac ZT-P10810D-10P,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",580.1,759.99,304,New Jersey,South Brunswick,New Jersey,United States of America,31/08/2000
Intel Core i7-5960X,,"Speed:3.0GHz,Cores:8,TDP:140W",865.59,1009.79,172,"Seattle, Washington",Seattle,Washington,US,01/09/2000
MSI X299 TOMAHAWK ARCTIC,,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",223.92,281.98,15,Beijing,Beijing,Shenzhen,China,06/10/2000
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,216,Toronto,Toronto,Ontario,Canada,13/10/2000
Corsair Vengeance LPX,TRUE,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",571.7,645.99,107,San Francisco,South San Francisco,California,United States of America,17/10/2000
Intel Xeon E5-2697 V2,,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,44,Toronto,Toronto,Ontario,Canada,17/10/2000
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,27,Mexico City,Monterrey,Nuevo León,Mexico,18/10/2000
Zotac ZT-P10810C-10P,TRUE,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.65GHz",535.03,759.99,209,Toronto,Toronto,Ontario,Canada,21/11/2000
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,118,New Jersey,South Brunswick,New Jersey,United States of America,21/11/2000
Seagate ST3000DM008,,"Series:Barracuda,Type:7200RPM,Capacity:3TB,Cache:64MB",61.63,83.61,62,Sydney,Sydney,New South Wales,Australia,23/11/2000
MSI GTX 980 Ti Gaming 6G,TRUE,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz",539.98,745.32,151,Sydney,Sydney,New South Wales,Australia,28/11/2000
Asus X99-E-10G WS,,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649,137,Beijing,Beijing,Shenzhen,China,02/12/2000
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,149,Beijing,Beijing,Shenzhen,China,07/12/2000
MSI GeForce GTX 1080 TI ARMOR 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",644.19,764.98,209,Toronto,Toronto,Ontario,Canada,24/12/2000
Hitachi HUS724030ALE641,,"Series:Ultrastar 7K4000,Type:7200RPM,Capacity:3TB,Cache:64MB",54.03,65.92,34,Sydney,Sydney,New South Wales,Australia,27/12/2000
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,202,Sydney,Sydney,New South Wales,Australia,28/12/2000
AMD FirePro W9100,,"Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz",2483.38,2998.89,19,Bombay,Bombay,Maharashtra,India,12/01/2001
Western Digital WD1003FZEX,TRUE,"Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB",61.76,70.89,124,Beijing,Beijing,Shenzhen,China,13/01/2001
MSI GTX 1080 Ti DUKE 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",555.07,739.99,214,San Francisco,South San Francisco,California,United States of America,26/01/2001
Gigabyte GV-N108TAORUSX W-11GD,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz",596.05,824.98,37,Bombay,Bombay,Maharashtra,India,11/02/2001
G.Skill Trident Z,,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",565.39,731.99,56,Sydney,Sydney,New South Wales,Australia,13/03/2001
Corsair Dominator Platinum,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",616.53,719.99,4,Bombay,Bombay,Maharashtra,India,18/03/2001
G.Skill Trident Z,TRUE,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,26,Beijing,Beijing,Shenzhen,China,19/03/2001
Kingston,,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB",474.18,644,178,San Francisco,South San Francisco,California,United States of America,25/03/2001
Samsung MZ-V6E500,,"Series:960 EVO,Type:SSD,Capacity:500GB,Cache:512MB",209.62,234,216,Toronto,Toronto,Ontario,Canada,23/04/2001
,,"Series:Ultimate SU800,Type:SSD,Capacity:512GB,Cache:N/A",113.29,136.69,213,San Francisco,South San Francisco,California,United States of America,25/04/2001
G.Skill Trident Z,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,227,San Francisco,South San Francisco,California,United States of America,26/04/2001
Western Digital WD2500AAJS,,"Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB",15.23,16.99,58,Sydney,Sydney,New South Wales,Australia,01/05/2001
ASRock X99 Extreme11,,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",380.55,469.99,7,Bombay,Bombay,Maharashtra,India,08/05/2001
G.Skill Ripjaws V Series,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",517.78,686.99,113,San Francisco,South San Francisco,California,United States of America,30/05/2001
MSI GAMING,,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz",753.18,849.99,36,Mexico City,Monterrey,Nuevo León,Mexico,04/06/2001
G.Skill Trident Z,,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",601.56,725.99,33,Sydney,Sydney,New South Wales,Australia,08/06/2001
G.Skill Ripjaws V Series,,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",499.09,645.99,107,"Seattle, Washington",Seattle,Washington,United States of America,18/06/2001
Western Digital WD1003FZEX,,"Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB",61.76,70.89,137,Mexico City,San Francisco,Nuevo León,Mexico,26/06/2001
ASRock EP2C602-4L/D16,,"CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB",225.47,301.99,66,Sydney,Sydney,New South Wales,Australia,08/07/2001
Asus ROG MAXIMUS IX EXTREME,,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",480.89,573.99,138,Beijing,Beijing,Shenzhen,China,19/07/2001
EVGA Classified,,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",240.62,283.98,24,Mexico City,Monterrey,Nuevo León,Mexico,20/07/2001
Intel Xeon E5-2687W,,"Speed:3.1GHz,Cores:8,TDP:150W",581.16,710.99,35,Bombay,Bombay,Maharashtra,India,19/08/2001
Western Digital WDS500G1B0B,,"Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A",106.89,149.88,244,San Francisco,San Francisco,California,United States of America,25/08/2001
G.Skill Ripjaws V Series,,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",499.09,645.99,31,Beijing,Beijing,Shenzhen,China,19/09/2001
Corsair CB-9060011-WW,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",573.51,799.99,88,New Jersey,South Brunswick,New Jersey,United States of America,28/09/2001
Intel Xeon E5-1650 V3,,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,564.89,125,"Southlake, Texas",Southlake,Texas,United States of America,12/10/2001
Intel Xeon E5-2680 V2,,"Speed:2.8GHz,Cores:10,TDP:115W",567.81,701.95,87,"Seattle, Washington",Seattle,Washington,United States of America,18/10/2001
Intel Xeon E5-2690 V3,,"Speed:2.6GHz,Cores:12,TDP:135W",1540.35,1908.73,93,New Jersey,South Brunswick,New Jersey,South Brunswick,26/10/2001
Intel Xeon E5-1650 V4 (OEM/Tray),,"Speed:3.6GHz,Cores:6,TDP:140W",453.14,594.99,59,Sydney,Sydney,New South Wales,Australia,30/10/2001
PNY VCGGTX1080T11XGPB-OC,TRUE,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",600.92,759.99,59,Mexico City,Monterrey,Nuevo León,Mexico,03/11/2001
Intel Core i7-3930K,,"Speed:3.2GHz,Cores:6,TDP:130W",509.32,660,155,San Francisco,South San Francisco,California,United States of America,05/12/2001
Intel Core i7-5960X,,"Speed:3.0GHz,Cores:8,TDP:140W",865.59,1009.79,196,San Francisco,South San Francisco,California,US,13/12/2001
EVGA 11G-P4-6598-KR,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz",663.54,809.99,97,"Seattle, Washington",Seattle,Washington,United States of America,31/12/2001
Intel Xeon E5-1650 V4 (OEM/Tray),,"Speed:3.6GHz,Cores:6,TDP:140W",453.14,594.99,26,Beijing,Beijing,Shenzhen,China,02/01/2002
Gigabyte X299 AORUS Gaming 3,,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",227.48,280.98,15,Beijing,Beijing,Shenzhen,China,06/01/2002
Hitachi A7K1000-1000,,"Series:Ultrastar,Type:7200RPM,Capacity:1TB,Cache:32MB",29.94,41.99,214,San Francisco,San Francisco,California,United States of America,12/01/2002
NVIDIA VCQM4000-PB,,"Chipset:Quadro M4000,Memory:8GBCore Clock:N/A",682.09,790,158,San Francisco,South San Francisco,California,United States of America,18/01/2002
G.Skill Ripjaws V Series,TRUE,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1139.87,1318.99,244,San Francisco,South San Francisco,California,United States of America,24/01/2002
Intel Xeon E5-2630 V4,,"Speed:2.2GHz,Cores:10,TDP:85W",528.95,647.99,141,Beijing,Beijing,Shenzhen,China,04/02/2002
Intel Xeon E5-2697 V4,,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,2554.99,58,Sydney,Sydney,New South Wales,Australia,10/02/2002
Intel Xeon E5-2687W V4,,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,2042.69,36,Bombay,Bombay,Maharashtra,India,11/02/2002
Intel Core i7-4790K,,"Speed:4.0GHz,Cores:4,TDP:88W",461.92,620.95,177,Sydney,Sydney,New South Wales,Australia,07/03/2002
Seagate ST2000DX002,,"Series:FireCuda,Type:Hybrid,Capacity:2TB,Cache:64MB",64.48,,175,Toronto,Toronto,Ontario,Canada,08/03/2002
Corsair CB-9060011-WW,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",573.51,799.99,49,Beijing,Beijing,Shenzhen,China,09/03/2002
ATI FirePro S9050,,"Chipset:FirePro S9050,Memory:12GBCore Clock:900MHz",1237.04,1699,221,"Southlake, Texas",Southlake,Texas,United States of America,12/03/2002
AMD 100-506061,,"Chipset:Vega Frontier Edition,Memory:16GBCore Clock:1.44GHz",706.99,999.99,164,Sydney,Sydney,New South Wales,Australia,22/03/2002
Intel Core i7-5930K,,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,554.99,13,Bombay,Bombay,Maharashtra,India,23/03/2002
Intel Core i7-3960X Extreme Edition,,"Speed:3.3GHz,Cores:6,TDP:130W",800.74,573.41,6,Beijing,Beijing,Shenzhen,China,28/03/2002
PNY SSD9SC240GMDA-RB,,"Series:XLR8,Type:SSD,Capacity:240GB,Cache:N/A",58.4,80.72,162,Sydney,Sydney,New South Wales,Australia,02/04/2002
G.Skill Trident Z,TRUE,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",585.26,713.99,6,Bombay,Bombay,Maharashtra,India,11/04/2002
Crucial CT275MX300SSD1,,"Series:MX300,Type:SSD,Capacity:275GB,Cache:N/A",79.21,97.88,88,Toronto,Toronto,Ontario,Canada,17/04/2002
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,267,San Francisco,South San Francisco,California,United States of America,24/04/2002
Asus X99-E-10G WS,,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649,172,San Francisco,South San Francisco,California,United States of America,28/04/2002
Intel Core i7-4770K,,"Speed:3.5GHz,Cores:4,TDP:84W",714.15,799,87,"Seattle, Washington",Seattle,Washington,United States of America,10/05/2002
EVGA 12G-P4-3992-KR,,"Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz",2313.07,2799.99,74,Toronto,Toronto,Ontario,Canada,11/05/2002
Western Digital WD5000AACS,,"Series:Caviar Green,Type:5400RPM,Capacity:500GB,Cache:16MB",20.14,26.99,175,Toronto,Toronto,Ontario,Canada,31/05/2002
Intel Xeon E5-2650,,"Speed:2.0GHz,Cores:8,TDP:95W",869.03,1064.99,111,Bombay,Bombay,Maharashtra,India,02/06/2002
Corsair CB-9060011-WW,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",573.51,799.99,96,San Francisco,South San Francisco,California,United States of America,07/06/2002
MSI GeForce GTX 1080 TI ARMOR 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",644.19,764.98,186,Sydney,Sydney,New South Wales,Australia,16/06/2002
Crucial CT1050MX300SSD1,,"Series:MX300,Type:SSD,Capacity:1.1TB,Cache:N/A",192.52,267.99,149,Mexico City,Monterrey,Nuevo León,Mexico,22/06/2002
Supermicro X10SAT-O,,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",207.08,281.97,101,San Francisco,South San Francisco,California,United States of America,23/06/2002
Intel Xeon E5-1650 V3,,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,564.89,65,Sydney,Sydney,New South Wales,Australia,29/06/2002
Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.62GHz",696.14,864.98,191,Sydney,Sydney,New South Wales,Australia,08/07/2002
Intel Xeon E5-1650 V3,,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,564.89,53,Mexico City,Monterrey,Nuevo León,Mexico,11/07/2002
Gigabyte X299 AORUS Gaming 3,,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",227.48,280.98,28,Mexico City,Monterrey,Nuevo León,Mexico,19/07/2002
Intel Xeon E5-2643 V4 (OEM/Tray),TRUE,"Speed:3.4GHz,Cores:6,TDP:135W",1225.59,1708.86,133,Mexico City,Monterrey,Nuevo León,Mexico,25/07/2002
,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",565.73,699.99,24,Beijing,Beijing,Shenzhen,China,28/07/2002
MSI X99A GODLIKE GAMING CARBON,TRUE,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",415,549.59,165,Bombay,Bombay,Maharashtra,India,31/07/2002
Intel Xeon E5-2680 V2,,"Speed:2.8GHz,Cores:10,TDP:115W",567.81,701.95,111,San Francisco,South San Francisco,California,United States of America,03/08/2002
Intel Core i9-7900X,,"Speed:3.3GHz,Cores:10,TDP:140W",855.82,1029.99,194,San Francisco,South San Francisco,California,United States of America,03/08/2002
Intel Core i7-4790K,,"Speed:4.0GHz,Cores:4,TDP:88W",461.92,620.95,176,San Francisco,South San Francisco,California,United States of America,10/08/2002
Intel Xeon E5-2630 V4,,"Speed:2.2GHz,Cores:10,TDP:85W",528.95,647.99,176,Sydney,Sydney,New South Wales,Australia,16/08/2002
SanDisk SDSSDA-120G-G26,,"Series:SSD PLUS,Type:SSD,Capacity:120GB,Cache:N/A",52.7,59.99,150,Sydney,San Francisco,New South Wales,Australia,17/08/2002
Gigabyte GV-N108TAORUSX W-11GD,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz",596.05,824.98,48,Toronto,Toronto,Ontario,Canada,19/08/2002
G.Skill Ripjaws 4 Series,,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",836.03,1055.99,174,San Francisco,South San Francisco,California,United States of America,21/08/2002
Intel Xeon E5-2640 V4,,"Speed:2.4GHz,Cores:10,TDP:90W",738.71,899.99,31,Sydney,Sydney,New South Wales,AU,01/09/2002
Samsung MZ-V6E250,,"Series:960 EVO,Type:SSD,Capacity:250GB,Cache:512MB",92.98,127.88,43,Toronto,Toronto,Ontario,Canada,06/09/2002
Intel Xeon E5-2687W V3,TRUE,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,2064.99,69,New Jersey,South Brunswick,New Jersey,United States of America,06/09/2002
MSI GAMING,,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz",753.18,849.99,98,"Seattle, Washington",Seattle,Washington,United States of America,28/09/2002
AMD Opteron 6378,,"Speed:2.4GHz,Cores:16,TDP:115W",826.99,651.92,14,Bombay,Bombay,Maharashtra,India,12/10/2002
Asus X99-E WS/USB 3.1,,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",428.89,482.49,137,Beijing,Beijing,Shenzhen,China,28/10/2002
Intel Xeon E5-2697 V4,,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,2554.99,100,New Jersey,South Brunswick,New Jersey,United States of America,31/10/2002
AMD 100-506061,,"Chipset:Vega Frontier Edition,Memory:16GBCore Clock:1.44GHz",706.99,999.99,143,Mexico City,Monterrey,Nuevo León,Mexico,03/11/2002
G.Skill Ripjaws V Series,TRUE,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",517.78,686.99,65,Sydney,Sydney,New South Wales,Australia,03/12/2002
Intel Core i7-980,,"Speed:3.33GHz,Cores:6,TDP:130W",563.7,699.99,225,"Seattle, Washington",Seattle,Washington,US,03/12/2002
Intel Xeon E5-2695 V3 (OEM/Tray),,"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,2431.95,29,Sydney,Sydney,New South Wales,Australia,09/12/2002
Intel DG43RK,,"CPU:LGA775,Form Factor:Micro ATX,RAM Slots:4,Max RAM:8GB",219.69,289.79,95,San Francisco,South San Francisco,California,United States of America,20/12/2002
Corsair Dominator Platinum,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1051.97,1449.99,177,Toronto,Toronto,Ontario,Canada,22/12/2002
Asus X99-E-10G WS,,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649,119,Bombay,Bombay,Maharashtra,India,29/12/2002
G.Skill TridentZ RGB,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1330.26,1504.99,163,Sydney,Sydney,New South Wales,Australia,02/01/2003
Intel Xeon E5-1680 V3 (OEM/Tray),,"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,1751.99,133,Mexico City,Monterrey,Nuevo León,Mexico,02/01/2003
Asus MAXIMUS IX CODE,,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",266.15,298.98,46,Beijing,Beijing,Shenzhen,China,25/01/2003
Kingston,TRUE,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x8GBSize:32GB",566.98,653.5,142,Beijing,Beijing,Shenzhen,China,28/01/2003
Intel Xeon E5-2690 V4,,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,1994.49,39,Mexico City,Monterrey,Nuevo León,Monterrey,30/01/2003
G.Skill Trident Z,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",585.26,713.99,54,Sydney,Sydney,New South Wales,Australia,01/02/2003
MSI GeForce GTX 1080 TI ARMOR 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",644.19,764.98,185,San Francisco,South San Francisco,California,United States of America,03/02/2003
Intel Xeon E5-2630 V3,,"Speed:2.4GHz,Cores:8,TDP:85W",499.96,629.99,-64,Sydney,Sydney,New South Wales,Australia,17/02/2003
MSI Z170 Krait Gaming,,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",231.58,299.89,55,Mexico City,Monterrey,Nuevo León,Mexico,08/03/2003
Intel Xeon E5-2697 V2,,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,0,Bombay,Bombay,Maharashtra,India,20/03/2003
Supermicro X10SDV-8C-TLN4F,,"CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",664.29,948.99,173,Sydney,Sydney,New South Wales,Australia,15/04/2003
EVGA 11G-P4-6696-KR,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz",594.46,759.99,13,Beijing,Beijing,Shenzhen,China,08/05/2003
NVIDIA VCQM4000-PB,,"Chipset:Quadro M4000,Memory:8GBCore Clock:N/A",682.09,790,74,Bombay,Bombay,Maharashtra,India,14/05/2003
PNY SSD9SC240GMDA-RB,,"Series:XLR8,Type:SSD,Capacity:240GB,Cache:N/A",58.4,80.72,137,Beijing,Beijing,Shenzhen,China,21/05/2003
Intel DP35DPM,TRUE,"CPU:LGA775,Form Factor:ATX,RAM Slots:4,Max RAM:8GB",626.22,789.79,30,Sydney,Sydney,New South Wales,Australia,22/05/2003
,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",565.73,699.99,181,San Francisco,South San Francisco,California,United States of America,24/05/2003
Asus RAMPAGE V EXTREME,,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB",459,572.96,30,Sydney,Sydney,New South Wales,Australia,24/05/2003
MSI GeForce GTX 1080 TI ARMOR 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",644.19,764.98,236,"Seattle, Washington",Seattle,Washington,United States of America,27/05/2003
Asus Z10PE-D8 WS,,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:512GB",504.14,561.59,138,Beijing,Beijing,Shenzhen,China,30/05/2003
G.Skill Trident Z,TRUE,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",647.83,760.99,232,Sydney,Sydney,New South Wales,Australia,02/06/2003
Crucial,TRUE,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",590.13,766.11,35,Sydney,Sydney,New South Wales,Australia,07/06/2003
G.Skill Trident Z,,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",532.27,722.99,58,Sydney,Sydney,New South Wales,Australia,13/06/2003
Corsair CB-9060011-WW,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",573.51,799.99,46,Toronto,Toronto,Ontario,Canada,22/06/2003
,,"Series:960 EVO,Type:SSD,Capacity:1TB,Cache:1000MB",358.06,449.99,213,San Francisco,South San Francisco,California,United States of America,22/06/2003
Corsair Vengeance LPX,,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",609.53,734.99,60,Sydney,Sydney,New South Wales,Australia,14/07/2003
