PRODUCT_NAME,TAXONOMY_INDEX,ADDITIONAL_DETAILS,ACQUISITION_COST,SALE_COST,QUANTITY,WAREHOUSE_NAME,CITY,STATE,COUNTRY_NAME,CREATION_DATE,DETAILS_GROUP_ONE,DETAILS_GROUP_TWO,DETAILS_GROUP_THREE,DETAILS_GROUP_FOUR,PROFIT,TOTAL PROFIT,PROFIT AFTER tax
Zotac ZT-P10810C-10P,True,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.65GHz",535.03,759.99,209.0,Toronto,Toronto,Ontario,Canada,,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.65GHz,,,224.96000000000004,47016.64000000001,47016.64000000001
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,118.0,New Jersey,South Brunswick,New Jersey,United States,,Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz,,,116.70000000000005,13770.600000000006,13770.600000000006
Seagate ST3000DM008,,"Series:Barracuda,Type:7200RPM,Capacity:3TB,Cache:64MB",61.63,83.61,62.0,Sydney,Sydney,New South Wales,Australia,,Series:Barracuda,Type:7200RPM,Capacity:3TB,Cache:64MB,21.979999999999997,1362.7599999999998,1022.0699999999998
MSI GTX 980 Ti Gaming 6G,True,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz",539.98,745.32,151.0,Sydney,Sydney,New South Wales,Australia,,Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz,,,205.34000000000003,31006.340000000004,23254.755000000005
Asus X99-E-10G WS,,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649.0,137.0,Beijing,Beijing,Beijing,China,2000-02-12,CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB,66.98000000000002,9176.260000000002,4588.130000000001
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,149.0,Beijing,Beijing,Beijing,China,2000-07-12,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz,,,93.39999999999998,13916.599999999997,6958.299999999998
MSI GeForce GTX 1080 TI ARMOR 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",644.19,764.98,209.0,Toronto,Toronto,Ontario,Canada,,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz,,,120.78999999999996,25245.109999999993,25245.109999999993
Hitachi HUS724030ALE641,,"Series:Ultrastar 7K4000,Type:7200RPM,Capacity:3TB,Cache:64MB",54.03,65.92,34.0,Sydney,Sydney,New South Wales,Australia,,Series:Ultrastar 7K4000,Type:7200RPM,Capacity:3TB,Cache:64MB,11.89,404.26,303.195
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,202.0,Sydney,Sydney,New South Wales,Australia,,Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A,79.75999999999999,16111.519999999999,12083.64
AMD FirePro W9100,,"Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz",2483.38,2998.89,19.0,Bombay,Bombay,Maharashtra,India,2001-12-01,Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz,,,515.5099999999998,9794.689999999995,9794.689999999995
Western Digital WD1003FZEX,True,"Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB",61.76,70.89,124.0,Beijing,Beijing,Beijing,China,,Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB,9.130000000000003,1132.1200000000003,566.0600000000002
MSI GTX 1080 Ti DUKE 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",555.07,739.99,214.0,San Francisco,South San Francisco,California,United States,,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz,,,184.91999999999996,39572.87999999999,39572.87999999999
Gigabyte GV-N108TAORUSX W-11GD,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz",596.05,824.98,37.0,Bombay,Bombay,Maharashtra,India,2001-11-02,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz,,,228.93000000000006,8470.410000000002,8470.410000000002
G.Skill Trident Z,,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",565.39,731.99,56.0,Sydney,Sydney,New South Wales,Australia,,Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB,,166.60000000000002,9329.600000000002,6997.200000000002
Corsair Dominator Platinum,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",616.53,719.99,4.0,Bombay,Bombay,Maharashtra,India,,Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB,,103.46000000000004,413.84000000000015,413.84000000000015
G.Skill Trident Z,True,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,26.0,Beijing,Beijing,Beijing,China,,Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB,,174.95000000000005,4548.700000000001,2274.3500000000004
Kingston,,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB",474.18,644.0,178.0,San Francisco,South San Francisco,California,United States,,Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB,,169.82,30227.96,30227.96
Samsung MZ-V6E500,,"Series:960 EVO,Type:SSD,Capacity:500GB,Cache:512MB",209.62,234.0,216.0,Toronto,Toronto,Ontario,Canada,,Series:960 EVO,Type:SSD,Capacity:500GB,Cache:512MB,24.379999999999995,5266.079999999999,5266.079999999999
G.Skill Trident Z,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,227.0,San Francisco,South San Francisco,California,United States,,Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB,,268.5,60949.5,60949.5
Western Digital WD2500AAJS,,"Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB",15.23,16.99,58.0,Sydney,Sydney,New South Wales,Australia,2001-01-05,Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB,1.759999999999998,102.07999999999988,76.55999999999992
ASRock X99 Extreme11,,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",380.55,469.99,7.0,Bombay,Bombay,Maharashtra,India,2001-08-05,CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB,89.44,626.0799999999999,626.0799999999999
G.Skill Ripjaws V Series,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",517.78,686.99,113.0,San Francisco,South San Francisco,California,United States,,Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB,,169.21000000000004,19120.730000000003,19120.730000000003
MSI GAMING,,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz",753.18,849.99,36.0,Mexico City,Monterrey,Nuevo Leon,Mexico,2001-04-06,Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz,,,96.81000000000006,3485.160000000002,2439.6120000000014
G.Skill Trident Z,,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",601.56,725.99,33.0,Sydney,Sydney,New South Wales,Australia,2001-08-06,Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB,,124.43000000000006,4106.190000000002,3079.6425000000017
G.Skill Ripjaws V Series,,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",499.09,645.99,107.0,"Seattle, Washington",Seattle,Washington,United States,,Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB,,146.90000000000003,15718.300000000003,15718.300000000003
Western Digital WD1003FZEX,,"Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB",61.76,70.89,137.0,Mexico City,San Francisco,California,United States,,Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB,9.130000000000003,1250.8100000000004,1250.8100000000004
ASRock EP2C602-4L/D16,,"CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB",225.47,301.99,66.0,Sydney,Sydney,New South Wales,Australia,2001-08-07,CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB,76.52000000000001,5050.320000000001,3787.7400000000007
Asus ROG MAXIMUS IX EXTREME,,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",480.89,573.99,138.0,Beijing,Beijing,Beijing,China,,CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB,93.10000000000002,12847.800000000003,6423.9000000000015
EVGA Classified,,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",240.62,283.98,24.0,Mexico City,Monterrey,Nuevo Leon,Mexico,,CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB,43.360000000000014,1040.6400000000003,728.4480000000002
Intel Xeon E5-2687W,,"Speed:3.1GHz,Cores:8,TDP:150W",581.16,710.99,35.0,Bombay,Bombay,Maharashtra,India,,Speed:3.1GHz,Cores:8,TDP:150W,,129.83000000000004,4544.050000000001,4544.050000000001
Western Digital WDS500G1B0B,,"Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A",106.89,149.88,244.0,San Francisco,San Francisco,California,United States,,Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A,42.989999999999995,10489.56,10489.56
G.Skill Ripjaws V Series,,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",499.09,645.99,31.0,Beijing,Beijing,Beijing,China,,Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB,,146.90000000000003,4553.9000000000015,2276.9500000000007
Corsair CB-9060011-WW,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",573.51,799.99,88.0,New Jersey,South Brunswick,New Jersey,United States,,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz,,,226.48000000000002,19930.24,19930.24
Intel Xeon E5-1650 V3,,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,564.89,125.0,"Southlake, Texas",Southlake,Texas,United States,2001-12-10,Speed:3.5GHz,Cores:6,TDP:140W,,165.12,20640.0,18576.0
Intel Xeon E5-2680 V2,,"Speed:2.8GHz,Cores:10,TDP:115W",567.81,701.95,87.0,"Seattle, Washington",Seattle,Washington,United States,,Speed:2.8GHz,Cores:10,TDP:115W,,134.1400000000001,11670.18000000001,11670.18000000001
Intel Xeon E5-2690 V3,,"Speed:2.6GHz,Cores:12,TDP:135W",1540.35,1908.73,93.0,New Jersey,South Brunswick,New Jersey,United States,,Speed:2.6GHz,Cores:12,TDP:135W,,368.3800000000001,34259.34000000001,34259.34000000001
Intel Xeon E5-1650 V4 (OEM/Tray),,"Speed:3.6GHz,Cores:6,TDP:140W",453.14,594.99,59.0,Sydney,Sydney,New South Wales,Australia,,Speed:3.6GHz,Cores:6,TDP:140W,,141.85000000000002,8369.150000000001,6276.862500000001
PNY VCGGTX1080T11XGPB-OC,True,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",600.92,759.99,59.0,Mexico City,Monterrey,Nuevo Leon,Mexico,2001-03-11,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz,,,159.07000000000005,9385.130000000003,6569.591000000001
Intel Core i7-3930K,,"Speed:3.2GHz,Cores:6,TDP:130W",509.32,660.0,155.0,San Francisco,South San Francisco,California,United States,2001-05-12,Speed:3.2GHz,Cores:6,TDP:130W,,150.68,23355.4,23355.4
Intel Core i7-5960X,,"Speed:3.0GHz,Cores:8,TDP:140W",865.59,1009.79,196.0,San Francisco,South San Francisco,California,United States,,Speed:3.0GHz,Cores:8,TDP:140W,,144.19999999999993,28263.199999999986,28263.199999999986
EVGA 11G-P4-6598-KR,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz",663.54,809.99,97.0,"Seattle, Washington",Seattle,Washington,United States,,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz,,,146.45000000000005,14205.650000000005,14205.650000000005
Intel Xeon E5-1650 V4 (OEM/Tray),,"Speed:3.6GHz,Cores:6,TDP:140W",453.14,594.99,26.0,Beijing,Beijing,Beijing,China,2002-02-01,Speed:3.6GHz,Cores:6,TDP:140W,,141.85000000000002,3688.1000000000004,1844.0500000000002
Gigabyte X299 AORUS Gaming 3,,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",227.48,280.98,15.0,Beijing,Beijing,Beijing,China,2002-06-01,CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB,53.50000000000003,802.5000000000005,401.2500000000002
Hitachi A7K1000-1000,,"Series:Ultrastar,Type:7200RPM,Capacity:1TB,Cache:32MB",29.94,41.99,214.0,San Francisco,San Francisco,California,United States,2002-12-01,Series:Ultrastar,Type:7200RPM,Capacity:1TB,Cache:32MB,12.05,2578.7000000000003,2578.7000000000003
NVIDIA VCQM4000-PB,,"Chipset:Quadro M4000,Memory:8GBCore Clock:N/A",682.09,790.0,158.0,San Francisco,South San Francisco,California,United States,,Chipset:Quadro M4000,Memory:8GBCore Clock:N/A,,,107.90999999999997,17049.779999999995,17049.779999999995
G.Skill Ripjaws V Series,True,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1139.87,1318.99,244.0,San Francisco,South San Francisco,California,United States,,Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB,,179.12000000000012,43705.28000000003,43705.28000000003
Intel Xeon E5-2630 V4,,"Speed:2.2GHz,Cores:10,TDP:85W",528.95,647.99,141.0,Beijing,Beijing,Beijing,China,2002-04-02,Speed:2.2GHz,Cores:10,TDP:85W,,119.03999999999996,16784.639999999996,8392.319999999998
Intel Xeon E5-2697 V4,,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,2554.99,58.0,Sydney,Sydney,New South Wales,Australia,2002-10-02,Speed:2.3GHz,Cores:18,TDP:145W,,410.5899999999997,23814.219999999983,17860.664999999986
Intel Xeon E5-2687W V4,,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,2042.69,36.0,Bombay,Bombay,Maharashtra,India,2002-11-02,Speed:3.0GHz,Cores:12,TDP:160W,,318.8600000000001,11478.960000000005,11478.960000000005
Intel Core i7-4790K,,"Speed:4.0GHz,Cores:4,TDP:88W",461.92,620.95,177.0,Sydney,Sydney,New South Wales,Australia,2002-07-03,Speed:4.0GHz,Cores:4,TDP:88W,,159.03000000000003,28148.310000000005,21111.232500000006
Seagate ST2000DX002,,"Series:FireCuda,Type:Hybrid,Capacity:2TB,Cache:64MB",64.48,,175.0,Toronto,Toronto,Ontario,Canada,2002-08-03,Series:FireCuda,Type:Hybrid,Capacity:2TB,Cache:64MB,,,
Corsair CB-9060011-WW,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",573.51,799.99,49.0,Beijing,Beijing,Beijing,China,2002-09-03,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz,,,226.48000000000002,11097.52,5548.76
ATI FirePro S9050,,"Chipset:FirePro S9050,Memory:12GBCore Clock:900MHz",1237.04,1699.0,221.0,"Southlake, Texas",Southlake,Texas,United States,2002-12-03,Chipset:FirePro S9050,Memory:12GBCore Clock:900MHz,,,461.96000000000004,102093.16,76569.87
AMD 100-506061,,"Chipset:Vega Frontier Edition,Memory:16GBCore Clock:1.44GHz",706.99,999.99,164.0,Sydney,Sydney,New South Wales,Australia,,Chipset:Vega Frontier Edition,Memory:16GBCore Clock:1.44GHz,,,293.0,48052.0,36039.0
Intel Core i7-5930K,,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,554.99,13.0,Bombay,Bombay,Maharashtra,India,,Speed:3.5GHz,Cores:6,TDP:140W,,73.43,954.5900000000001,954.5900000000001
Intel Core i7-3960X Extreme Edition,,"Speed:3.3GHz,Cores:6,TDP:130W",800.74,573.41,6.0,Beijing,Beijing,Beijing,China,,Speed:3.3GHz,Cores:6,TDP:130W,,-227.33000000000004,-1363.9800000000002,-1363.9800000000002
PNY SSD9SC240GMDA-RB,,"Series:XLR8,Type:SSD,Capacity:240GB,Cache:N/A",58.4,80.72,162.0,Sydney,Sydney,New South Wales,Australia,2002-02-04,Series:XLR8,Type:SSD,Capacity:240GB,Cache:N/A,22.32,3615.84,2711.88
G.Skill Trident Z,True,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",585.26,713.99,6.0,Bombay,Bombay,Maharashtra,India,2002-11-04,Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB,,128.73000000000002,772.3800000000001,772.3800000000001
Crucial CT275MX300SSD1,,"Series:MX300,Type:SSD,Capacity:275GB,Cache:N/A",79.21,97.88,88.0,Toronto,Toronto,Ontario,Canada,,Series:MX300,Type:SSD,Capacity:275GB,Cache:N/A,18.67,1642.96,1642.96
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,267.0,San Francisco,South San Francisco,California,United States,,Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A,79.75999999999999,21295.92,21295.92
Asus X99-E-10G WS,,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649.0,172.0,San Francisco,South San Francisco,California,United States,,CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB,66.98000000000002,11520.560000000003,11520.560000000003
Intel Core i7-4770K,,"Speed:3.5GHz,Cores:4,TDP:84W",714.15,799.0,87.0,"Seattle, Washington",Seattle,Washington,United States,2002-10-05,Speed:3.5GHz,Cores:4,TDP:84W,,84.85000000000002,7381.950000000002,7381.950000000002
EVGA 12G-P4-3992-KR,,"Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz",2313.07,2799.99,74.0,Toronto,Toronto,Ontario,Canada,2002-11-05,Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz,,,486.9199999999996,36032.07999999997,36032.07999999997
